site1,site2,fst,dist
Wilke,Sudbury,0.0022911,534
Wilke,OrpheusNE,0.0021066,701
Wilke,OrpheusC,0.0036571,701
Wilke,Magnetic,0.0030007,759
Wilke,Keppel,0.012792,1354
Sudbury,OrpheusNE,-3.27E-05,187
Sudbury,OrpheusC,0.0043079,187
Sudbury,Magnetic,4.31E-04,234
Sudbury,Keppel,0.0098306,821
OrpheusNE,OrpheusC,0.0051402,2
OrpheusNE,Magnetic,0.0006404,57
OrpheusNE,Keppel,0.011306,669
OrpheusC,Magnetic,0.0048061,55
OrpheusC,Keppel,0.010166,667
Magnetic,Keppel,0.006662,615
