1650	0.0329483375	0	0	0	5.3211869e-07	0	0	7.55535496e-07	5.7741313e-06
0.13281475	2525	0.000454598834	0	6.9818276e-07	0.000411472574	1.46037073e-05	0	0.000696945121	0.00321673066
4.28384737e-05	0.00282995449	350	0.000497132132	0.00561015215	1.94906497e-05	2.611833e-06	0	0.0016456903	0.00204224582
0	0	5.86387659e-06	1850	0.00262419065	0	0	0	0	0
2.60577417e-05	0.00128351932	0.0122080455	0.186151937	4500	6.05881496e-07	0	0	3.32312411e-05	5.87692848e-05
0	0	0	0	0	1375	0.00921367668	0.0237755496	0	0
0	0	0	0	0	0	4650	0.01756352	0	0
0	0	0	0	0	3.98209238e-07	0.000705968181	1875	0	0
0	0.000101809434	0.00272953464	0.000202220661	0.000189163344	0.000279156171	3.89259112e-05	2.22857016e-05	1775	0.0516215302
0	6.62036564e-06	0.000753574655	2.65513918e-05	7.67252568e-05	0.0078607453	0.00090760825	0.000405519007	0.332097083	1575
